,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code
0,3747337009,0,2,AimBig Employment MAITLAND,0212882C,AALL
0,536024109,0,2,AimBig Employment SURFERS PARADISE,0212793B,MENH
0,5909908509,0,3,AimBig Employment MITCHELTON,0212795D,AALL
0,1532130,0,0,AimBig Employment BANKSTOWN,0212839K,MENH
0,5789202909,0,3,AimBig Employment CHINCHILLA,0212838K,AALL
0,1431260,0,3,AimBig Employment DEAKIN,0212835G,(blank)
0,223178019,0,0,AimBig Employment DARLINGHURST,0212845J,AALL
0,7712939809,0,0,AimBig Employment MOONEE PONDS,0212817E,AALL
0,3463491909,0,2,AimBig Employment INVERELL,0212889K,AALL
0,3043713709,0,4,AimBig Employment AUBURN,0212841E,AALL
0,9851357809,0,4,AimBig Employment AUBURN,0212898K,AALL
0,9652044709,0,2,AimBig Employment CESSNOCK,0212882C,AALL
0,1498320,0,8,AimBig Employment KANWAL,0212881B,AALL
0,349677003,0,0,AimBig Employment BROADMEADOW,,
0,469014709,0,2,AimBig Employment PARRAMATTA,0212898K,AALL
0,9334178609,0,0,AimBig Employment BAULKHAM HILLS,0212898K,AALL
0,5294389709,0,2,AimBig Employment DEAKIN,0212836H,MUSK
0,1343399509,0,6,AimBig Employment CORIO,0212895H,AALL
0,9862773109,0,2,AimBig Employment BANKSTOWN,0212840D,MUSK
0,1675840909,0,2,AimBig Employment DALBY,0212897K,AALL
0,7539991003,0,3,AimBig Employment FAIRFIELD,0212844H,AALL
0,6396966409,0,2,AimBig Employment WOOLLOONGABBA,0212796E,(blank)
0,344671019,0,2,AimBig Employment TAYLORS LAKES,0212822B,MENH
0,52697509,0,0,AimBig Employment CAMPBELLTOWN,0212902B,AALL
0,9146072909,0,2,AimBig Employment KANWAL,0212881B,AALL
0,5303571609,0,0,AimBig Employment LEICHHARDT,0212845J,AALL
0,951208019,0,1,AimBig Employment TOOWONG,0212879H,AALL
0,875355004,0,8,AimBig Employment TOOWONG,0212879H,AALL
0,5249250509,0,2,AimBig Employment TOOWONG,0212879H,AALL
0,941896409,0,2,AimBig Employment FRANKSTON,0212818F,MENH
0,5290177609,0,3,AimBig Employment DALBY,0212897K,AALL
0,2756385209,0,4,AimBig Employment TOOWONG,0212879H,AALL
0,803657019,0,2,AimBig Employment TOOWONG,0212879H,AALL
